Frequency - Fase	Phase - Fase	
3582,821624	-176,546	
3618,770407	-176,423	
3654,905117	183,517	
3691,409931	183,55	
3728,292824	-176,348	
3765,546507	-176,393	
3803,364814	183,636	
3841,352248	183,675	
3879,72647	-176,318	
3918,469957	-176,254	
3957,770413	183,742	
3997,256515	183,756	
4037,306945	-176,091	
4077,733888	-176,206	
4118,324194	183,917	
4159,687664	183,985	
4201,221846	-176,055	
4243,13082	184,024	
4285,597168	184,08	
4328,440459	-175,859	
4371,837431	-175,847	
4415,430421	184,122	
4459,56688	184,178	
4504,276606	-175,696	
4549,347828	184,341	
4594,803562	184,179	
4640,809454	-175,739	
4687,185267	-175,664	
4733,936525	184,385	
4781,436863	-175,507	
4829,123725	-175,416	
4877,368128	184,515	
4926,16778	-175,396	
4975,533003	-175,356	
5025,265401	184,709	
5075,552049	-175,38	
5126,220433	-175,211	
5177,437553	184,81	
5229,222315	-175,175	
5281,561477	-175,136	
5334,45794	184,902	
5387,733305	-175,039	
5441,571343	-175,015	
5495,954848	185,088	
5551,094356	-175,017	
5606,587561	185,26	
5662,6595	185,11	
5719,291097	-174,708	
5776,466822	185,269	
5834,214009	-174,722	
5892,505251	-174,662	
5951,369424	185,387	
6010,969881	-174,543	
6071,149076	185,59	
6131,672684	-174,404	
6193,15037	-174,363	
6254,985727	185,674	
6317,570252	-174,225	
6380,715388	185,907	
6444,606544	-174,226	
6509,057425	-174,13	
6574,051351	185,954	
6639,810368	-173,973	
6706,314649	186,122	
6773,363092	-173,762	
6840,977691	186,091	
6909,338404	-173,809	
6978,44736	186,274	
7048,287824	-173,68	
7118,695452	-173,459	
7190,039412	186,482	
7261,946962	-173,618	
7334,58228	186,545	
7407,780432	-173,317	
7481,914765	186,736	
7556,797628	-173,221	
7632,227388	187,083	
7708,600835	-173,127	
7785,716102	187,054	
7863,56932	-172,882	
7942,180453	186,858	
8021,729662	-172,813	
8101,805452	-172,657	
8182,832604	187,482	
8264,608751	-172,598	
8347,305353	187,47	
8430,754965	-172,595	
8515,132329	187,517	
8600,253232	-172,323	
8686,303816	187,788	
8773,113769	-172,091	
8860,838438	-172,123	
8949,506226	187,94	
9038,909187	-171,928	
9129,439866	188,177	
9220,704447	-171,883	
9312,903112	-171,711	
9406,051273	188,121	
9500,106561	-171,75	
9595,102673	188,679	
9691,032947	-171,298	
9787,885658	-171,253	
9885,859994	188,88	
9984,579659	-171,209	
10084,423142	-171,202	
10185,370152	189,042	
10287,257655	-170,938	
10390,081818	-170,81	
10494,017251	189,168	
10598,883028	-170,775	
10704,872012	-170,425	
10811,970131	189,683	
10920,004714	189,712	
11029,345492	-170,421	
11139,614844	-170,081	
11250,999328	190,108	
11363,510834	-169,798	
11477,12815	-169,785	
